hint_1|Ira furor brevis est. - 'Wrath is but a brief madness'
hint_2|Igitur qui desiderat pacem, praeparet bellum. - 'Therefore let him who desires peace get ready for war.'
hint_3|Aliis si licet, tibi non licet. - 'To others it is permitted, to you it is not permitted'
hint_4|Acta Non Verba. - 'Actions instead of words'
hint_5|Semper Idem - 'Always the same.'
hint_6|Male parta male dilabuntur - 'What has been wrongly gained is wrongly lost.'
hint_7|Fortes fortuna adiuvat. - 'Luck is with the bravest.'
hint_8|Omnes una manet nox - 'One night awaits everyone.'
hint_9|Carpe diem. - 'Seize the day.'
hint_10|Quis, Quid, Ubi, Quibus Auxiliis, Cur, Quomodo, Quando? - 'Who, what, where, with what, why, how, when?'
hint_11|In vino veritas. - 'Truth lies in wine'
hint_12|Exitus Acta Probat – ‘The result justifies the deed.’
